"day","dau","wau","mau","stickiness"
2023-03-25,10,44,213,4.69
2023-03-26,4,44,213,1.88
2023-03-27,6,48,213,2.82
2023-03-28,5,48,213,2.35
2023-03-29,6,48,213,2.82
2023-03-30,7,48,213,3.29
2023-03-31,6,48,213,2.82
2023-04-01,10,48,199,5.03
2023-04-02,9,48,199,4.52
2023-04-03,8,63,199,4.02
2023-04-04,11,63,199,5.53
2023-04-05,7,63,199,3.52
2023-04-06,9,63,199,4.52
2023-04-07,9,63,199,4.52
2023-04-08,7,63,199,3.52
2023-04-09,12,63,199,6.03
2023-04-10,8,51,199,4.02
2023-04-11,5,51,199,2.51
2023-04-12,11,51,199,5.53
2023-04-13,6,51,199,3.02
2023-04-14,6,51,199,3.02
2023-04-15,8,51,199,4.02
2023-04-16,8,51,199,4.02
2023-04-17,6,46,199,3.02
2023-04-18,10,46,199,5.03
2023-04-19,9,46,199,4.52
2023-04-20,2,46,199,1.01
2023-04-21,5,46,199,2.51
2023-04-22,5,46,199,2.51
2023-04-23,9,46,199,4.52
2023-04-24,7,33,199,3.52
2023-04-25,4,33,199,2.01
2023-04-26,8,33,199,4.02
2023-04-27,6,33,199,3.02
2023-04-28,3,33,199,1.51
2023-04-29,4,33,199,2.01
2023-04-30,2,33,199,1.01
2023-05-01,4,38,187,2.14
2023-05-02,4,38,187,2.14
2023-05-03,6,38,187,3.21
2023-05-04,6,38,187,3.21
2023-05-05,3,38,187,1.60
2023-05-06,10,38,187,5.35
2023-05-07,5,38,187,2.67
2023-05-08,10,49,187,5.35
2023-05-09,5,49,187,2.67
2023-05-10,7,49,187,3.74
2023-05-11,7,49,187,3.74
2023-05-12,5,49,187,2.67
2023-05-13,6,49,187,3.21
2023-05-14,10,49,187,5.35
2023-05-15,6,51,187,3.21
2023-05-16,8,51,187,4.28
2023-05-17,16,51,187,8.56
2023-05-18,9,51,187,4.81
2023-05-19,7,51,187,3.74
2023-05-20,4,51,187,2.14
2023-05-21,2,51,187,1.07
2023-05-22,3,44,187,1.60
2023-05-23,9,44,187,4.81
2023-05-24,7,44,187,3.74
2023-05-25,7,44,187,3.74
2023-05-26,4,44,187,2.14
2023-05-27,8,44,187,4.28
2023-05-28,6,44,187,3.21
2023-05-29,3,45,187,1.60
2023-05-30,2,45,187,1.07
2023-05-31,11,45,187,5.88
2023-06-01,9,45,194,4.64
2023-06-02,4,45,194,2.06
2023-06-03,10,45,194,5.15
2023-06-04,8,45,194,4.12
2023-06-05,11,51,194,5.67
2023-06-06,9,51,194,4.64
2023-06-07,5,51,194,2.58
2023-06-08,6,51,194,3.09
2023-06-09,4,51,194,2.06
2023-06-10,14,51,194,7.22
2023-06-11,3,51,194,1.55
2023-06-12,5,51,194,2.58
2023-06-13,6,51,194,3.09
2023-06-14,4,51,194,2.06
2023-06-15,10,51,194,5.15
2023-06-16,8,51,194,4.12
2023-06-17,7,51,194,3.61
2023-06-18,11,51,194,5.67
2023-06-19,9,48,194,4.64
2023-06-20,4,48,194,2.06
2023-06-21,5,48,194,2.58
2023-06-22,9,48,194,4.64
2023-06-23,4,48,194,2.06
2023-06-24,10,48,194,5.15
2023-06-25,9,48,194,4.64
2023-06-26,5,37,194,2.58
2023-06-27,6,37,194,3.09
2023-06-28,5,37,194,2.58
2023-06-29,6,37,194,3.09
2023-06-30,7,37,194,3.61
2023-07-01,5,37,210,2.38
2023-07-02,4,37,210,1.90
2023-07-03,6,46,210,2.86
2023-07-04,10,46,210,4.76
2023-07-05,9,46,210,4.29
2023-07-06,4,46,210,1.90
2023-07-07,2,46,210,0.95
2023-07-08,5,46,210,2.38
2023-07-09,11,46,210,5.24
2023-07-10,8,59,210,3.81
2023-07-11,7,59,210,3.33
2023-07-12,5,59,210,2.38
2023-07-13,7,59,210,3.33
2023-07-14,11,59,210,5.24
2023-07-15,14,59,210,6.67
2023-07-16,9,59,210,4.29
2023-07-17,7,47,210,3.33
2023-07-18,4,47,210,1.90
2023-07-19,8,47,210,3.81
2023-07-20,3,47,210,1.43
2023-07-21,8,47,210,3.81
2023-07-22,9,47,210,4.29
2023-07-23,8,47,210,3.81
2023-07-24,7,51,210,3.33
2023-07-25,10,51,210,4.76
2023-07-26,10,51,210,4.76
2023-07-27,9,51,210,4.29
2023-07-28,6,51,210,2.86
2023-07-29,7,51,210,3.33
2023-07-30,4,51,210,1.90
2023-07-31,12,54,210,5.71
2023-08-01,4,54,178,2.25
2023-08-02,9,54,178,5.06
2023-08-03,7,54,178,3.93
2023-08-04,5,54,178,2.81
2023-08-05,12,54,178,6.74
2023-08-06,5,54,178,2.81
2023-08-07,4,44,178,2.25
2023-08-08,7,44,178,3.93
2023-08-09,5,44,178,2.81
2023-08-10,4,44,178,2.25
2023-08-11,12,44,178,6.74
2023-08-12,5,44,178,2.81
2023-08-13,8,44,178,4.49
2023-08-14,5,44,178,2.81
2023-08-15,5,44,178,2.81
2023-08-16,7,44,178,3.93
2023-08-17,13,44,178,7.30
2023-08-18,4,44,178,2.25
2023-08-19,4,44,178,2.25
2023-08-20,6,44,178,3.37
2023-08-21,6,38,178,3.37
2023-08-22,7,38,178,3.93
2023-08-23,3,38,178,1.69
2023-08-24,6,38,178,3.37
2023-08-25,5,38,178,2.81
2023-08-26,6,38,178,3.37
2023-08-27,5,38,178,2.81
2023-08-28,5,48,178,2.81
2023-08-29,8,48,178,4.49
2023-08-30,9,48,178,5.06
2023-08-31,2,48,178,1.12
2023-09-01,8,48,187,4.28
2023-09-02,10,48,187,5.35
2023-09-03,7,48,187,3.74
2023-09-04,5,40,187,2.67
2023-09-05,6,40,187,3.21
2023-09-06,3,40,187,1.60
2023-09-07,3,40,187,1.60
2023-09-08,8,40,187,4.28
2023-09-09,8,40,187,4.28
2023-09-10,8,40,187,4.28
2023-09-11,11,65,187,5.88
2023-09-12,11,65,187,5.88
2023-09-13,7,65,187,3.74
2023-09-14,8,65,187,4.28
2023-09-15,14,65,187,7.49
2023-09-16,8,65,187,4.28
2023-09-17,8,65,187,4.28
2023-09-18,7,40,187,3.74
2023-09-19,7,40,187,3.74
2023-09-20,3,40,187,1.60
2023-09-21,2,40,187,1.07
2023-09-22,5,40,187,2.67
2023-09-23,9,40,187,4.81
2023-09-24,7,40,187,3.74
2023-09-25,6,40,187,3.21
2023-09-26,3,40,187,1.60
2023-09-27,4,40,187,2.14
2023-09-28,4,40,187,2.14
2023-09-29,4,40,187,2.14
2023-09-30,8,40,187,4.28
2023-10-01,12,40,192,6.25
2023-10-02,5,40,192,2.60
2023-10-03,10,40,192,5.21
2023-10-04,7,40,192,3.65
2023-10-05,3,40,192,1.56
2023-10-06,4,40,192,2.08
2023-10-07,6,40,192,3.13
2023-10-08,6,40,192,3.13
2023-10-09,7,43,192,3.65
2023-10-10,8,43,192,4.17
2023-10-11,5,43,192,2.60
2023-10-12,9,43,192,4.69
2023-10-13,4,43,192,2.08
2023-10-14,5,43,192,2.60
2023-10-15,5,43,192,2.60
2023-10-16,7,54,192,3.65
2023-10-17,11,54,192,5.73
2023-10-18,4,54,192,2.08
2023-10-19,4,54,192,2.08
2023-10-20,14,54,192,7.29
2023-10-21,5,54,192,2.60
2023-10-22,11,54,192,5.73
2023-10-23,5,45,192,2.60
2023-10-24,8,45,192,4.17
2023-10-25,4,45,192,2.08
2023-10-26,8,45,192,4.17
2023-10-27,5,45,192,2.60
2023-10-28,8,45,192,4.17
2023-10-29,7,45,192,3.65
2023-10-30,9,51,192,4.69
2023-10-31,6,51,192,3.13
2023-11-01,8,51,176,4.55
2023-11-02,8,51,176,4.55
2023-11-03,6,51,176,3.41
2023-11-04,6,51,176,3.41
2023-11-05,8,51,176,4.55
2023-11-06,9,58,176,5.11
2023-11-07,14,58,176,7.95
2023-11-08,6,58,176,3.41
2023-11-09,7,58,176,3.98
2023-11-10,5,58,176,2.84
2023-11-11,8,58,176,4.55
2023-11-12,9,58,176,5.11
2023-11-13,3,39,176,1.70
2023-11-14,5,39,176,2.84
2023-11-15,5,39,176,2.84
2023-11-16,9,39,176,5.11
2023-11-17,7,39,176,3.98
2023-11-18,5,39,176,2.84
2023-11-19,7,39,176,3.98
2023-11-20,4,33,176,2.27
2023-11-21,3,33,176,1.70
2023-11-22,5,33,176,2.84
2023-11-23,2,33,176,1.14
2023-11-24,9,33,176,5.11
2023-11-25,4,33,176,2.27
2023-11-26,7,33,176,3.98
2023-11-27,8,39,176,4.55
2023-11-28,5,39,176,2.84
2023-11-29,5,39,176,2.84
2023-11-30,4,39,176,2.27
2023-12-01,4,39,205,1.95
2023-12-02,12,39,205,5.85
2023-12-03,2,39,205,0.98
2023-12-04,9,43,205,4.39
2023-12-05,12,43,205,5.85
2023-12-06,4,43,205,1.95
2023-12-07,4,43,205,1.95
2023-12-08,7,43,205,3.41
2023-12-09,1,43,205,0.49
2023-12-10,6,43,205,2.93
2023-12-11,8,53,205,3.90
2023-12-12,5,53,205,2.44
2023-12-13,10,53,205,4.88
2023-12-14,6,53,205,2.93
2023-12-15,9,53,205,4.39
2023-12-16,4,53,205,1.95
2023-12-17,12,53,205,5.85
2023-12-18,6,45,205,2.93
2023-12-19,6,45,205,2.93
2023-12-20,8,45,205,3.90
2023-12-21,6,45,205,2.93
2023-12-22,7,45,205,3.41
2023-12-23,7,45,205,3.41
2023-12-24,5,45,205,2.44
2023-12-25,9,52,205,4.39
2023-12-26,7,52,205,3.41
2023-12-27,3,52,205,1.46
2023-12-28,10,52,205,4.88
2023-12-29,8,52,205,3.90
2023-12-30,10,52,205,4.88
2023-12-31,6,52,205,2.93
2024-01-01,6,51,191,3.14
2024-01-02,7,51,191,3.66
2024-01-03,5,51,191,2.62
2024-01-04,10,51,191,5.24
2024-01-05,4,51,191,2.09
2024-01-06,13,51,191,6.81
2024-01-07,6,51,191,3.14
2024-01-08,4,41,191,2.09
2024-01-09,8,41,191,4.19
2024-01-10,4,41,191,2.09
2024-01-11,6,41,191,3.14
2024-01-12,5,41,191,2.62
2024-01-13,8,41,191,4.19
2024-01-14,7,41,191,3.66
2024-01-15,7,39,191,3.66
2024-01-16,4,39,191,2.09
2024-01-17,4,39,191,2.09
2024-01-18,6,39,191,3.14
2024-01-19,7,39,191,3.66
2024-01-20,7,39,191,3.66
2024-01-21,4,39,191,2.09
2024-01-22,6,54,191,3.14
2024-01-23,8,54,191,4.19
2024-01-24,9,54,191,4.71
2024-01-25,7,54,191,3.66
2024-01-26,9,54,191,4.71
2024-01-27,8,54,191,4.19
2024-01-28,7,54,191,3.66
2024-01-29,6,43,191,3.14
2024-01-30,8,43,191,4.19
2024-01-31,4,43,191,2.09
2024-02-01,5,43,200,2.50
2024-02-02,11,43,200,5.50
2024-02-03,6,43,200,3.00
2024-02-04,3,43,200,1.50
2024-02-05,5,51,200,2.50
2024-02-06,3,51,200,1.50
2024-02-07,6,51,200,3.00
2024-02-08,8,51,200,4.00
2024-02-09,6,51,200,3.00
2024-02-10,10,51,200,5.00
2024-02-11,13,51,200,6.50
2024-02-12,8,68,200,4.00
2024-02-13,10,68,200,5.00
2024-02-14,11,68,200,5.50
2024-02-15,8,68,200,4.00
2024-02-16,13,68,200,6.50
2024-02-17,8,68,200,4.00
2024-02-18,10,68,200,5.00
2024-02-19,6,46,200,3.00
2024-02-20,4,46,200,2.00
2024-02-21,8,46,200,4.00
2024-02-22,7,46,200,3.50
2024-02-23,9,46,200,4.50
2024-02-24,6,46,200,3.00
2024-02-25,7,46,200,3.50
2024-02-26,2,40,200,1.00
2024-02-27,6,40,200,3.00
2024-02-28,4,40,200,2.00
2024-02-29,7,40,200,3.50
2024-03-01,6,40,186,3.23
2024-03-02,6,40,186,3.23
2024-03-03,9,40,186,4.84
2024-03-04,7,43,186,3.76
2024-03-05,5,43,186,2.69
2024-03-06,7,43,186,3.76
2024-03-07,3,43,186,1.61
2024-03-08,8,43,186,4.30
2024-03-09,4,43,186,2.15
2024-03-10,10,43,186,5.38
2024-03-11,6,43,186,3.23
2024-03-12,7,43,186,3.76
2024-03-13,4,43,186,2.15
2024-03-14,7,43,186,3.76
2024-03-15,5,43,186,2.69
2024-03-16,7,43,186,3.76
2024-03-17,7,43,186,3.76
2024-03-18,7,44,186,3.76
2024-03-19,9,44,186,4.84
2024-03-20,5,44,186,2.69
2024-03-21,7,44,186,3.76
2024-03-22,6,44,186,3.23
2024-03-23,5,44,186,2.69
2024-03-24,6,44,186,3.23
2024-03-25,5,46,186,2.69
2024-03-26,6,46,186,3.23
2024-03-27,5,46,186,2.69
2024-03-28,6,46,186,3.23
2024-03-29,10,46,186,5.38
2024-03-30,6,46,186,3.23
2024-03-31,9,46,186,4.84
2024-04-01,6,39,168,3.57
2024-04-02,6,39,168,3.57
2024-04-03,4,39,168,2.38
2024-04-04,7,39,168,4.17
2024-04-05,8,39,168,4.76
2024-04-06,4,39,168,2.38
2024-04-07,4,39,168,2.38
2024-04-08,3,36,168,1.79
2024-04-09,7,36,168,4.17
2024-04-10,1,36,168,0.60
2024-04-11,7,36,168,4.17
2024-04-12,8,36,168,4.76
2024-04-13,6,36,168,3.57
2024-04-14,4,36,168,2.38
2024-04-15,10,49,168,5.95
2024-04-16,9,49,168,5.36
2024-04-17,9,49,168,5.36
2024-04-18,11,49,168,6.55
2024-04-19,4,49,168,2.38
2024-04-20,3,49,168,1.79
2024-04-21,5,49,168,2.98
2024-04-22,6,42,168,3.57
2024-04-23,6,42,168,3.57
2024-04-24,7,42,168,4.17
2024-04-25,6,42,168,3.57
2024-04-26,3,42,168,1.79
2024-04-27,8,42,168,4.76
2024-04-28,6,42,168,3.57
2024-04-29,5,43,168,2.98
2024-04-30,4,43,168,2.38
2024-05-01,4,43,95,4.21
2024-05-02,11,43,95,11.58
2024-05-03,8,43,95,8.42
2024-05-04,6,43,95,6.32
2024-05-05,6,43,95,6.32
2024-05-06,7,44,95,7.37
2024-05-07,6,44,95,6.32
2024-05-08,5,44,95,5.26
2024-05-09,12,44,95,12.63
2024-05-10,3,44,95,3.16
2024-05-11,7,44,95,7.37
2024-05-12,5,44,95,5.26
2024-05-13,6,21,95,6.32
2024-05-14,8,21,95,8.42
2024-05-15,7,21,95,7.37
