"customer_id","frequency","monetary","r_score","f_score","m_score","segment"
C1234,3,167.83,1,2,3,Others
C1068,1,61.78,1,4,4,At Risk
C1364,1,61.35,1,4,4,At Risk
C0640,2,225.28,1,2,3,Others
C1099,1,36.53,1,4,4,At Risk
C0790,2,201.14,1,3,3,At Risk
C0639,1,194.86,1,4,3,At Risk
C0305,1,119.33,1,4,4,At Risk
C0439,2,133.19,1,3,4,At Risk
C1186,2,374.07,1,3,2,At Risk
C0947,1,73.91,1,4,4,At Risk
C0649,2,435.56,1,2,1,Others
C0244,1,60.82,1,4,4,At Risk
C0255,1,117.31,1,4,4,At Risk
C0445,2,354.46,1,3,2,At Risk
C0957,1,130.28,1,4,4,At Risk
C1407,3,493.21,1,1,1,Hibernating
C0958,1,111.22,1,4,4,At Risk
C1289,2,40.64,1,2,4,Others
C1425,1,124.06,1,4,4,At Risk
C0102,1,43.08,1,4,4,At Risk
C1428,1,143.05,1,4,3,At Risk
C1426,3,192.68,1,2,3,Others
C0921,1,8.83,1,4,4,At Risk
C0478,1,93.01,1,3,4,At Risk
C0278,1,78.87,1,4,4,At Risk
C1048,2,194.65,1,3,3,At Risk
C0253,2,218.45,1,2,3,Others
C0533,2,330.93,1,3,2,At Risk
C1089,2,151.60,1,3,3,At Risk
C0576,1,196.85,1,4,3,At Risk
C1485,1,162.76,1,4,3,At Risk
C0771,1,152.43,1,4,3,At Risk
C1500,1,177.24,1,4,3,At Risk
C0644,1,120.87,1,4,4,At Risk
C0322,2,210.81,1,2,3,Others
C1205,1,121.56,1,4,4,At Risk
C1331,2,246.50,1,2,3,Others
C0144,2,150.68,1,3,3,At Risk
C1308,5,714.12,1,1,1,Hibernating
C0082,1,86.47,1,4,4,At Risk
C0058,2,435.03,1,2,1,Others
C0089,1,19.46,1,4,4,At Risk
C0296,2,266.73,1,3,2,At Risk
C1170,5,416.33,1,1,1,Hibernating
C0111,1,33.15,1,4,4,At Risk
C1109,1,71.35,1,4,4,At Risk
C0991,1,123.99,1,4,4,At Risk
C1138,1,60.90,1,4,4,At Risk
C1464,2,215.19,1,2,3,Others
C0105,3,188.12,1,2,3,Others
C0480,3,372.76,1,2,2,Others
C0176,2,336.16,1,3,2,At Risk
C0633,1,101.04,1,4,4,At Risk
C0391,2,214.77,1,2,3,Others
C1087,1,207.16,1,4,3,At Risk
C0002,4,309.43,1,1,2,Hibernating
C1004,1,27.71,1,4,4,At Risk
C0894,2,238.88,1,2,3,Others
C0878,2,233.24,1,2,3,Others
C0655,1,159.29,1,3,3,At Risk
C1103,1,13.22,1,4,4,At Risk
C0606,2,168.69,1,3,3,At Risk
C0392,1,133.45,1,4,4,At Risk
C0984,1,244.78,1,4,3,At Risk
C0744,3,294.39,1,2,2,Others
C0028,1,135.37,1,4,4,At Risk
C0273,1,299.73,1,4,2,At Risk
C1163,1,132.92,1,4,4,At Risk
C0538,1,230.18,1,4,3,At Risk
C0201,1,187.99,1,4,3,At Risk
C1246,1,62.05,1,4,4,At Risk
C0215,2,169.50,1,3,3,At Risk
C1111,1,70.90,1,4,4,At Risk
C1417,2,263.98,1,3,2,At Risk
C0553,2,297.52,1,3,2,At Risk
C1461,2,157.69,1,3,3,At Risk
C0155,1,215.06,1,4,3,At Risk
C0017,1,63.31,1,4,4,At Risk
C0685,1,152.79,1,4,3,At Risk
C0762,2,194.94,1,3,3,At Risk
C1025,1,61.89,1,4,4,At Risk
C1035,1,120.96,1,4,4,At Risk
C1484,4,394.88,1,1,1,Hibernating
C0535,3,468.43,1,1,1,Hibernating
C0546,1,19.81,1,4,4,At Risk
C1070,1,101.27,1,4,4,At Risk
C0487,1,116.78,1,4,4,At Risk
C1412,1,69.44,1,4,4,At Risk
C0530,1,49.38,1,4,4,At Risk
C0965,1,108.87,1,4,4,At Risk
C0764,3,262.74,1,2,2,Others
C0209,1,211.73,1,4,3,At Risk
C0010,1,46.00,1,4,4,At Risk
C1268,1,13.86,1,4,4,At Risk
C0746,2,360.32,1,3,2,At Risk
C0795,3,118.93,1,2,4,Others
C0635,3,450.96,1,1,1,Hibernating
C0986,2,493.25,1,3,1,At Risk
C0033,2,347.40,1,3,2,At Risk
C0358,1,154.21,1,4,3,At Risk
C0214,2,185.98,1,3,3,At Risk
C0998,3,259.39,1,2,2,Others
C0040,1,154.57,1,4,3,At Risk
C0873,3,373.62,1,2,2,Others
C0311,3,350.08,1,2,2,Others
C0274,3,334.89,1,2,2,Others
C0085,2,453.80,1,3,1,At Risk
C0417,3,285.00,1,2,2,Others
C0408,1,75.14,1,3,4,At Risk
C1133,4,481.84,1,1,1,Hibernating
C0822,2,233.22,1,2,3,Others
C0870,1,39.54,1,4,4,At Risk
C1416,2,118.23,1,3,4,At Risk
C0628,3,509.05,1,1,1,Hibernating
C1146,1,164.56,1,4,3,At Risk
C1491,2,397.84,1,3,1,At Risk
C0458,1,23.97,1,4,4,At Risk
C0092,2,129.76,1,3,4,At Risk
C1437,3,230.86,1,2,3,Others
C0777,4,371.84,1,1,2,Hibernating
C1441,2,209.90,1,2,3,Others
C1272,1,69.44,1,4,4,At Risk
C0603,1,86.85,1,4,4,At Risk
C0645,2,179.26,1,3,3,At Risk
C0427,1,97.09,1,4,4,At Risk
C0295,1,167.82,1,4,3,At Risk
C0776,1,130.39,1,4,4,At Risk
C0348,1,72.39,1,4,4,At Risk
C1237,4,508.74,1,1,1,Hibernating
C0999,4,337.88,1,1,2,Hibernating
C0625,2,177.78,1,3,3,At Risk
C0400,1,222.63,1,4,3,At Risk
C0226,2,322.62,1,3,2,At Risk
C1144,2,216.27,1,2,3,Others
C1158,2,215.33,1,2,3,Others
C0889,1,73.26,1,4,4,At Risk
C1233,2,297.17,1,3,2,At Risk
C0780,2,402.44,1,3,1,At Risk
C0084,2,279.70,1,3,2,At Risk
C0737,2,149.40,1,3,3,At Risk
C1096,3,169.22,1,2,3,Others
C0551,1,70.65,1,4,4,At Risk
C1383,1,140.05,1,4,3,At Risk
C0451,2,266.35,1,3,2,At Risk
C0173,1,40.90,1,4,4,At Risk
C0937,3,365.18,1,2,2,Others
C1349,2,315.04,1,3,2,At Risk
C0939,2,211.82,1,2,3,Others
C1143,2,280.38,1,3,2,At Risk
C1245,1,25.89,1,4,4,At Risk
C0484,2,94.29,1,3,4,At Risk
C0594,2,191.53,1,3,3,At Risk
C0580,1,59.34,1,3,4,At Risk
C1479,1,20.08,1,3,4,At Risk
C1213,2,214.95,1,2,3,Others
C0073,1,132.59,1,4,4,At Risk
C1116,2,263.91,1,3,2,At Risk
C1290,1,131.93,1,4,4,At Risk
C0752,2,260.89,1,3,2,At Risk
C1386,2,111.02,1,3,4,At Risk
C0224,1,28.72,1,4,4,At Risk
C1181,2,293.45,1,3,2,At Risk
C1275,1,130.14,1,4,4,At Risk
C0016,1,29.27,1,4,4,At Risk
C0319,4,525.35,1,1,1,Hibernating
C0773,2,384.77,1,3,2,At Risk
C0385,1,33.87,1,4,4,At Risk
C1151,4,176.15,1,1,3,Hibernating
C0613,1,131.92,1,4,4,At Risk
C0798,1,117.66,1,4,4,At Risk
C0065,1,89.46,1,4,4,At Risk
C1127,1,17.73,1,4,4,At Risk
C0604,1,86.00,1,4,4,At Risk
C0509,2,261.61,1,3,2,At Risk
C1161,3,446.32,1,2,1,Others
C0653,5,437.17,1,1,1,Hibernating
C0309,2,312.55,1,3,2,At Risk
C1273,1,148.74,1,4,3,At Risk
C1347,3,558.39,1,1,1,Hibernating
C1113,1,79.01,1,4,4,At Risk
C0686,3,329.47,1,2,2,Others
C0053,3,501.06,1,1,1,Hibernating
C1382,1,209.49,1,4,3,At Risk
C1139,3,398.08,1,2,1,Others
C0782,3,454.17,1,1,1,Hibernating
C0310,2,285.66,1,3,2,At Risk
C1285,3,357.95,1,2,2,Others
C1157,1,256.02,1,4,2,At Risk
C1304,2,269.76,1,3,2,At Risk
C0114,1,12.87,1,4,4,At Risk
C0498,2,262.71,1,3,2,At Risk
C0598,3,434.33,1,2,1,Others
C0757,2,210.69,1,2,3,Others
C1303,2,118.63,1,3,4,At Risk
C1399,3,289.27,1,2,2,Others
C0515,1,158.96,1,3,3,At Risk
C0493,5,550.42,1,1,1,Hibernating
C0429,2,258.30,1,3,2,At Risk
C0145,3,279.01,1,2,2,Others
C0508,1,157.48,1,4,3,At Risk
C0504,1,176.58,1,4,3,At Risk
C0306,1,67.05,1,4,4,At Risk
C1082,1,131.92,1,4,4,At Risk
C1248,2,158.49,1,3,3,At Risk
C0126,1,86.31,1,4,4,At Risk
C0852,2,279.78,1,3,2,At Risk
C0749,1,63.27,1,4,4,At Risk
C0251,2,250.99,1,2,2,Others
C0735,1,25.10,1,4,4,At Risk
C0761,2,252.46,1,2,2,Others
C0841,2,215.48,1,2,3,Others
C0517,2,261.71,1,3,2,At Risk
C1020,3,303.59,1,2,2,Others
C0934,2,339.08,1,3,2,At Risk
C0078,1,7.08,1,4,4,At Risk
C1414,3,370.81,1,2,2,Others
C1493,4,514.74,1,1,1,Hibernating
C0866,2,414.63,1,2,1,Others
C1242,1,154.12,1,4,3,At Risk
C1354,4,412.38,1,1,1,Hibernating
C0698,1,69.31,1,4,4,At Risk
C0569,4,453.59,1,1,1,Hibernating
C1378,1,145.81,1,4,3,At Risk
C0467,3,118.40,2,2,4,Others
C0003,1,14.28,2,4,4,At Risk
C0547,2,116.82,2,3,4,At Risk
C1421,4,405.78,2,1,1,Others
C0229,3,336.81,2,2,2,Others
C1183,3,305.49,2,2,2,Others
C1360,1,131.30,2,4,4,At Risk
C1000,1,70.29,2,4,4,At Risk
C0543,1,202.28,2,4,3,At Risk
C0558,4,463.34,2,1,1,Others
C0879,2,269.97,2,3,2,At Risk
C0724,2,200.36,2,3,3,At Risk
C0812,1,137.30,2,4,3,At Risk
C0868,2,216.53,2,2,3,Others
C1110,2,180.08,2,3,3,At Risk
C0178,1,204.81,2,4,3,At Risk
C0195,2,173.09,2,3,3,At Risk
C1283,2,306.82,2,3,2,At Risk
C1444,1,93.28,2,3,4,At Risk
C1060,1,326.07,2,4,2,At Risk
C1455,2,223.54,2,2,3,Others
C0235,5,191.28,2,1,3,Others
C0133,1,7.73,2,4,4,At Risk
C1236,3,447.67,2,2,1,Others
C0367,1,103.33,2,4,4,At Risk
C0563,1,149.66,2,4,3,At Risk
C0270,2,203.80,2,2,3,Others
C1402,1,107.16,2,4,4,At Risk
C0818,2,290.47,2,3,2,At Risk
C1282,2,162.85,2,3,3,At Risk
C1228,2,279.53,2,3,2,At Risk
C1355,4,412.26,2,1,1,Others
C0314,2,327.56,2,3,2,At Risk
C1433,4,361.93,2,1,2,Others
C0247,3,392.73,2,2,1,Others
C0570,1,74.74,2,4,4,At Risk
C0232,1,26.48,2,4,4,At Risk
C1395,4,377.28,2,1,2,Others
C0152,3,512.68,2,1,1,Others
C0936,3,205.42,2,2,3,Others
C0791,4,440.44,2,1,1,Others
C0813,2,271.06,2,3,2,At Risk
C0616,1,59.99,2,3,4,At Risk
C0638,3,490.71,2,1,1,Others
C0820,5,328.23,2,1,2,Others
C0775,1,179.23,2,4,3,At Risk
C0827,1,145.85,2,4,3,At Risk
C0647,2,312.55,2,3,2,At Risk
C1462,2,264.09,2,3,2,At Risk
C1302,2,255.87,2,3,2,At Risk
C0769,3,333.52,2,2,2,Others
C0503,1,143.07,2,4,3,At Risk
C1072,2,182.18,2,3,3,At Risk
C0042,2,73.23,2,3,4,At Risk
C1368,4,353.68,2,1,2,Others
C0824,2,154.23,2,3,3,At Risk
C0963,1,232.80,2,4,3,At Risk
C0819,2,277.08,2,3,2,At Risk
C1309,3,318.24,2,2,2,Others
C1013,1,178.00,2,4,3,At Risk
C0510,2,213.78,2,2,3,Others
C1160,1,81.62,2,4,4,At Risk
C0382,1,268.93,2,4,2,At Risk
C0981,1,81.72,2,4,4,At Risk
C1443,5,781.25,2,1,1,Others
C1217,4,626.58,2,1,1,Others
C0712,2,185.98,2,3,3,At Risk
C0825,2,188.92,2,3,3,At Risk
C0249,3,330.72,2,2,2,Others
C0189,3,308.62,2,2,2,Others
C1480,3,178.87,2,2,3,Others
C0799,1,68.75,2,4,4,At Risk
C0230,2,191.21,2,3,3,At Risk
C0127,2,387.23,2,3,1,At Risk
C1108,1,29.91,2,4,4,At Risk
C0821,1,167.88,2,4,3,At Risk
C0355,1,85.62,2,4,4,At Risk
C0045,1,89.96,2,4,4,At Risk
C1486,4,335.38,2,1,2,Others
C1263,3,608.67,2,1,1,Others
C1276,1,108.56,2,4,4,At Risk
C0725,6,597.90,2,1,1,Others
C0596,2,212.72,2,2,3,Others
C0132,3,186.13,2,2,3,Others
C0695,2,139.42,2,3,3,At Risk
C0388,2,175.62,2,3,3,At Risk
C1086,3,415.72,2,2,1,Others
C1046,1,78.20,2,4,4,At Risk
C0979,2,121.21,2,3,4,At Risk
C1147,1,215.34,2,4,3,At Risk
C0024,2,246.33,2,2,3,Others
C0491,2,42.75,2,2,4,Others
C1194,1,119.13,2,4,4,At Risk
C1432,2,414.17,2,3,1,At Risk
C0072,2,150.90,2,3,3,At Risk
C0794,6,704.92,2,1,1,Others
C0260,3,243.47,2,2,3,Others
C0942,2,220.11,2,2,3,Others
C0483,2,257.95,2,3,2,At Risk
C0730,1,109.49,2,4,4,At Risk
C0012,2,275.04,2,3,2,At Risk
C1098,4,501.12,2,1,1,Others
C1044,2,163.46,2,3,3,At Risk
C0714,1,48.64,2,4,4,At Risk
C0474,2,296.51,2,3,2,At Risk
C0648,3,425.01,2,2,1,Others
C0468,3,170.92,2,2,3,Others
C0036,3,596.22,2,1,1,Others
C0327,2,164.78,2,3,3,At Risk
C0575,4,393.06,2,1,1,Others
C1494,4,469.10,2,1,1,Others
C0366,1,88.97,2,4,4,At Risk
C0147,2,247.67,2,2,3,Others
C1006,1,50.82,2,4,4,At Risk
C1180,1,115.08,2,4,4,At Risk
C1122,1,207.33,2,4,3,At Risk
C0279,2,122.02,2,3,4,At Risk
C1463,2,253.97,2,2,2,Others
C0047,3,286.02,2,2,2,Others
C1403,2,298.98,2,3,2,At Risk
C1316,2,193.20,2,3,3,At Risk
C0759,2,283.48,2,2,2,Others
C1318,3,293.96,2,2,2,Others
C0228,4,410.43,2,1,1,Others
C1438,2,85.82,2,3,4,At Risk
C0593,1,58.02,2,4,4,At Risk
C0826,2,214.23,2,2,3,Others
C1001,5,455.63,2,1,1,Others
C0035,2,312.74,2,3,2,At Risk
C0304,2,310.95,2,3,2,At Risk
C0422,1,45.71,2,4,4,At Risk
C0122,2,122.81,2,3,4,At Risk
C0602,1,46.00,2,4,4,At Risk
C1097,2,293.27,2,3,2,At Risk
C0222,1,73.51,2,4,4,At Risk
C1010,2,255.05,2,3,2,At Risk
C0904,4,552.19,2,1,1,Others
C0661,4,282.02,2,1,2,Others
C0276,2,182.97,2,3,3,At Risk
C0962,2,242.15,2,2,3,Others
C0405,4,377.47,2,1,2,Others
C0489,4,560.15,2,1,1,Others
C0168,2,250.59,2,2,2,Others
C0219,7,1078.40,2,1,1,Others
C0948,3,429.83,2,2,1,Others
C1026,3,229.84,2,2,3,Others
C0859,1,103.05,2,4,4,At Risk
C0910,2,190.82,2,3,3,At Risk
C0572,1,182.30,2,4,3,At Risk
C1356,3,389.53,2,2,1,Others
C0537,1,41.74,2,4,4,At Risk
C1469,5,404.07,2,1,1,Others
C1465,2,131.81,2,3,4,At Risk
C0225,3,478.74,2,1,1,Others
C1198,2,221.48,2,2,3,Others
C0717,2,81.82,2,3,4,At Risk
C0153,2,234.56,2,2,3,Others
C0055,2,238.65,2,2,3,Others
C0284,3,392.92,2,2,1,Others
C0736,2,204.70,2,2,3,Others
C0590,3,329.07,2,2,2,Others
C0006,5,472.88,2,1,1,Others
C1212,4,401.90,2,1,1,Others
C1077,2,142.43,2,3,3,At Risk
C0469,1,92.80,2,4,4,At Risk
C1307,3,622.31,2,1,1,Others
C0690,4,609.81,2,1,1,Others
C0687,3,391.46,2,2,1,Others
C0346,2,334.67,2,3,2,At Risk
C0823,1,204.52,2,4,3,At Risk
C0506,1,68.22,2,4,4,At Risk
C1063,5,414.40,2,1,1,Others
C0488,3,323.82,2,2,2,Others
C1134,2,96.93,2,3,4,At Risk
C0150,5,307.56,2,1,2,Others
C0356,2,80.01,2,3,4,At Risk
C1152,5,811.20,2,1,1,Others
C0165,1,121.91,2,4,4,At Risk
C0110,1,61.59,2,4,4,At Risk
C1085,2,291.40,2,3,2,At Risk
C0982,2,134.02,2,3,4,At Risk
C0171,2,160.84,2,3,3,At Risk
C0106,2,196.62,2,3,3,At Risk
C0741,3,228.72,2,2,3,Others
C1241,2,361.93,2,3,2,At Risk
C1487,6,620.66,2,1,1,Others
C0620,4,514.67,2,1,1,Others
C0760,2,349.10,2,3,2,At Risk
C1118,2,320.07,2,3,2,At Risk
C0666,2,209.71,2,2,3,Others
C1218,2,258.38,2,3,2,At Risk
C0101,2,229.03,2,2,3,Others
C0020,2,158.28,2,3,3,At Risk
C1384,1,128.86,2,4,4,At Risk
C0756,1,144.78,2,4,3,At Risk
C0135,1,50.34,2,4,4,At Risk
C1040,4,538.25,2,1,1,Others
C1471,1,41.74,2,4,4,At Risk
C1422,2,132.05,2,3,4,At Risk
C1367,3,329.89,2,2,2,Others
C1313,3,471.29,2,1,1,Others
C0091,3,403.31,2,2,1,Others
C1297,1,156.55,2,4,3,At Risk
C1377,3,249.31,2,2,3,Others
C1387,1,9.13,2,4,4,At Risk
C1396,2,250.57,2,2,3,Others
C0843,1,304.17,2,4,2,At Risk
C0373,6,581.80,2,1,1,Others
C0864,2,219.62,2,2,3,Others
C0582,2,177.68,2,3,3,At Risk
C1007,3,462.62,2,1,1,Others
C0123,2,135.99,2,3,4,At Risk
C0849,2,341.55,2,3,2,At Risk
C0272,1,23.40,2,4,4,At Risk
C1017,4,567.06,2,1,1,Others
C1178,2,197.98,2,3,3,At Risk
C0434,4,467.66,2,1,1,Others
C0681,2,169.53,2,3,3,At Risk
C1206,3,469.19,2,1,1,Others
C1189,2,315.50,2,3,2,At Risk
C0375,2,170.78,2,3,3,At Risk
C1067,3,485.02,2,1,1,Others
C1196,2,130.14,2,3,4,At Risk
C1429,2,222.39,2,2,3,Others
C0968,4,451.38,2,1,1,Others
C1472,2,319.49,2,3,2,At Risk
C1016,2,275.68,2,3,2,At Risk
C0456,1,86.18,2,4,4,At Risk
C0634,3,318.85,2,2,2,Others
C0721,3,308.47,2,2,2,Others
C0682,3,379.62,2,2,2,Others
C0577,3,220.41,2,2,3,Others
C0328,3,386.52,2,2,2,Others
C1404,4,432.67,2,1,1,Others
C1256,3,424.86,2,2,1,Others
C0758,2,370.04,2,3,2,At Risk
C0549,3,402.97,2,2,1,Others
C0470,3,351.49,2,2,2,Others
C1374,1,296.46,2,4,2,At Risk
C0548,2,332.87,2,3,2,At Risk
C0198,3,378.39,2,2,2,Others
C0146,3,265.19,2,2,2,Others
C0862,3,308.49,2,2,2,Others
C0747,1,118.68,2,4,4,At Risk
C0443,3,292.17,2,2,2,Others
C1125,1,83.70,2,4,4,At Risk
C0699,2,385.64,2,3,2,At Risk
C0419,2,186.06,2,3,3,At Risk
C0664,4,581.28,2,1,1,Others
C1252,1,109.14,2,4,4,At Risk
C0544,4,615.75,2,1,1,Others
C0317,1,167.71,2,4,3,At Risk
C0671,3,376.24,2,2,2,Others
C0689,3,170.22,2,2,3,Others
C0874,2,386.15,2,3,2,At Risk
C0339,1,247.14,2,4,3,At Risk
C0472,4,429.28,2,1,1,Others
C1049,2,95.29,2,3,4,At Risk
C1128,3,256.49,2,2,2,Others
C1258,6,643.69,2,1,1,Others
C0916,1,23.85,2,4,4,At Risk
C0308,2,212.10,2,2,3,Others
C0880,2,248.79,2,2,3,Others
C1448,1,127.26,2,4,4,At Risk
C0599,4,499.42,2,1,1,Others
C0560,2,187.15,2,3,3,At Risk
C0692,2,214.40,2,2,3,Others
C1324,2,97.29,2,3,4,At Risk
C1202,3,323.99,2,2,2,Others
C0452,3,231.41,2,2,3,Others
C0014,1,23.12,2,4,4,At Risk
C0481,3,351.09,2,2,2,Others
C1335,1,65.56,2,4,4,At Risk
C1249,2,141.98,2,3,3,At Risk
C0307,4,428.80,2,1,1,Others
C0850,2,193.70,2,3,3,At Risk
C0223,3,239.47,2,2,3,Others
C0143,4,442.78,2,1,1,Others
C0345,3,312.90,2,2,2,Others
C1427,3,189.56,2,2,3,Others
C0838,2,360.39,2,3,2,At Risk
C1499,5,1075.29,2,1,1,Others
C1187,2,93.27,2,3,4,At Risk
C0672,2,254.31,2,3,2,At Risk
C0726,1,150.65,2,4,3,At Risk
C0418,2,49.09,2,3,4,At Risk
C0343,3,382.28,2,2,2,Others
C1481,5,365.97,2,1,2,Others
C0292,4,543.58,2,1,1,Others
C0423,3,246.63,2,2,3,Others
C0956,3,330.36,2,2,2,Others
C0702,3,190.72,2,2,3,Others
C1123,2,269.33,2,3,2,At Risk
C0617,1,32.34,2,4,4,At Risk
C0115,5,648.20,2,1,1,Others
C1216,3,301.54,2,2,2,Others
C0772,4,294.51,2,1,2,Others
C1389,2,230.04,2,2,3,Others
C0267,2,309.12,2,3,2,At Risk
C1254,3,405.84,2,2,1,Others
C1011,1,24.07,2,4,4,At Risk
C1061,4,260.26,2,1,2,Others
C0803,5,555.17,2,1,1,Others
C0376,2,158.96,2,3,3,At Risk
C1069,1,172.08,2,4,3,At Risk
C1220,1,59.77,2,3,4,At Risk
C0094,3,390.02,2,2,1,Others
C0707,2,273.32,2,3,2,At Risk
C0612,2,168.55,2,3,3,At Risk
C1397,5,565.26,2,1,1,Others
C0265,3,305.82,2,2,2,Others
C0277,1,147.79,2,4,3,At Risk
C0961,3,251.21,2,2,2,Others
C1045,2,304.10,2,3,2,At Risk
C0079,2,107.59,2,3,4,At Risk
C1442,3,556.43,2,1,1,Others
C0511,2,266.68,2,3,2,At Risk
C0177,1,38.28,2,4,4,At Risk
C0428,3,169.58,2,2,3,Others
C1172,2,315.01,2,3,2,At Risk
C1381,3,353.49,2,2,2,Others
C1473,1,34.37,2,4,4,At Risk
C0557,3,579.50,2,1,1,Others
C0190,3,297.38,2,2,2,Others
C0807,3,401.97,2,2,1,Others
C0723,1,194.97,2,4,3,At Risk
C1078,1,41.81,2,4,4,At Risk
C1034,2,367.73,2,3,2,At Risk
C0401,4,423.13,2,1,1,Others
C0565,4,553.20,2,1,1,Others
C1080,2,278.57,2,3,2,At Risk
C0949,2,392.03,2,3,1,At Risk
C0204,2,217.90,2,2,3,Others
C1240,1,168.62,2,4,3,At Risk
C0453,2,142.07,2,3,3,At Risk
C0438,3,266.26,2,2,2,Others
C0808,3,245.98,2,2,3,Others
C1317,1,182.89,2,4,3,At Risk
C1261,1,68.64,3,4,4,Champions
C0696,4,435.29,3,1,1,Others
C1071,4,550.45,3,1,1,Others
C1058,3,477.35,3,1,1,Others
C0887,4,526.98,3,1,1,Others
C0087,2,307.99,3,3,2,Champions
