"order_id","customer_id","restaurant_id","order_time","delivery_time","status","cuisine","city","rating","signup_date","item_id","quantity","price","line_revenue"
O00004,C1452,R086,2023-03-27 00:00:00.000,2023-03-27 00:31:00.000,Late,Chinese,Leeds,4.9,2022-11-23,M0366,2,9.97,19.94
O00004,C1452,R086,2023-03-27 00:00:00.000,2023-03-27 00:31:00.000,Late,Chinese,Leeds,4.9,2022-11-23,M0217,1,18.02,18.02
O00004,C1452,R086,2023-03-27 00:00:00.000,2023-03-27 00:31:00.000,Late,Chinese,Leeds,4.9,2022-11-23,M0038,3,18.60,55.80
O00005,C0915,R002,2024-01-09 00:00:00.000,2024-01-09 01:02:00.000,Cancelled,Chinese,Leeds,4.1,2022-02-10,M0087,3,14.36,43.08
O00005,C0915,R002,2024-01-09 00:00:00.000,2024-01-09 01:02:00.000,Cancelled,Chinese,Leeds,4.1,2022-02-10,M0323,3,6.77,20.31
O00005,C0915,R002,2024-01-09 00:00:00.000,2024-01-09 01:02:00.000,Cancelled,Chinese,Leeds,4.1,2022-02-10,M0344,2,24.80,49.60
O00006,C1420,R009,2023-04-18 00:00:00.000,2023-04-18 00:51:00.000,Cancelled,Mexican,Bristol,4.9,2022-06-08,M0208,3,20.87,62.61
O00006,C1420,R009,2023-04-18 00:00:00.000,2023-04-18 00:51:00.000,Cancelled,Mexican,Bristol,4.9,2022-06-08,M0033,1,26.51,26.51
O00006,C1420,R009,2023-04-18 00:00:00.000,2023-04-18 00:51:00.000,Cancelled,Mexican,Bristol,4.9,2022-06-08,M0037,3,29.27,87.81
O00007,C1476,R001,2023-05-12 00:00:00.000,2023-05-12 00:33:00.000,Delivered,Indian,Manchester,3.4,2022-08-11,M0130,3,35.60,106.80
O00007,C1476,R001,2023-05-12 00:00:00.000,2023-05-12 00:33:00.000,Delivered,Indian,Manchester,3.4,2022-08-11,M0167,3,7.95,23.85
O00007,C1476,R001,2023-05-12 00:00:00.000,2023-05-12 00:33:00.000,Delivered,Indian,Manchester,3.4,2022-08-11,M0029,1,17.18,17.18
O00007,C1476,R001,2023-05-12 00:00:00.000,2023-05-12 00:33:00.000,Delivered,Indian,Manchester,3.4,2022-08-11,M0102,1,32.81,32.81
O00008,C0860,R022,2023-07-17 00:00:00.000,2023-07-17 01:16:00.000,Cancelled,Thai,Leeds,4.6,2022-10-24,M0204,2,29.45,58.90
O00008,C0860,R022,2023-07-17 00:00:00.000,2023-07-17 01:16:00.000,Cancelled,Thai,Leeds,4.6,2022-10-24,M0376,1,30.09,30.09
O00008,C0860,R022,2023-07-17 00:00:00.000,2023-07-17 01:16:00.000,Cancelled,Thai,Leeds,4.6,2022-10-24,M0092,2,7.08,14.16
O00009,C0720,R070,2023-09-10 00:00:00.000,2023-09-10 01:08:00.000,Cancelled,American,Leeds,4.6,2022-05-06,M0086,2,15.24,30.48
O00009,C0720,R070,2023-09-10 00:00:00.000,2023-09-10 01:08:00.000,Cancelled,American,Leeds,4.6,2022-05-06,M0223,2,14.20,28.40
O00010,C1184,R084,2023-02-21 00:00:00.000,2023-02-21 01:21:00.000,Late,Chinese,Birmingham,3.6,2022-05-25,M0200,1,23.77,23.77
O00011,C0925,R010,2023-04-26 00:00:00.000,2023-04-26 00:40:00.000,Delivered,Mexican,London,4.7,2022-03-09,M0098,2,18.74,37.48
O00012,C0653,R034,2023-05-31 00:00:00.000,2023-05-31 00:22:00.000,Delivered,Chinese,London,4.0,2023-05-24,M0273,1,36.41,36.41
O00012,C0653,R034,2023-05-31 00:00:00.000,2023-05-31 00:22:00.000,Delivered,Chinese,London,4.0,2023-05-24,M0253,1,24.73,24.73
O00013,C0349,R114,2023-02-07 00:00:00.000,2023-02-07 01:03:00.000,Cancelled,Thai,Liverpool,4.4,2022-08-13,M0327,2,19.93,39.86
O00013,C0349,R114,2023-02-07 00:00:00.000,2023-02-07 01:03:00.000,Cancelled,Thai,Liverpool,4.4,2022-08-13,M0121,1,6.69,6.69
O00014,C1121,R115,2023-03-24 00:00:00.000,2023-03-24 00:29:00.000,Delivered,Chinese,Birmingham,5.0,2023-01-13,M0318,2,11.92,23.84
O00015,C1443,R004,2023-06-23 00:00:00.000,2023-06-23 01:21:00.000,Cancelled,Thai,Birmingham,3.5,2023-02-28,M0306,1,20.83,20.83
O00016,C1244,R114,2024-04-27 00:00:00.000,2024-04-27 00:41:00.000,Cancelled,Thai,Liverpool,4.4,2023-10-07,M0005,1,34.72,34.72
O00017,C0208,R043,2023-03-22 00:00:00.000,2023-03-22 00:26:00.000,Delivered,Mexican,Manchester,4.5,2022-09-15,M0163,1,25.64,25.64
O00017,C0208,R043,2023-03-22 00:00:00.000,2023-03-22 00:26:00.000,Delivered,Mexican,Manchester,4.5,2022-09-15,M0107,2,16.46,32.92
O00017,C0208,R043,2023-03-22 00:00:00.000,2023-03-22 00:26:00.000,Delivered,Mexican,Manchester,4.5,2022-09-15,M0091,3,32.50,97.50
O00018,C0839,R090,2024-05-13 00:00:00.000,2024-05-13 00:44:00.000,Late,American,Birmingham,3.2,2022-02-16,M0177,1,38.41,38.41
O00019,C0544,R085,2024-01-05 00:00:00.000,2024-01-05 01:29:00.000,Cancelled,Thai,Manchester,4.0,2023-07-10,M0039,3,9.83,29.49
O00019,C0544,R085,2024-01-05 00:00:00.000,2024-01-05 01:29:00.000,Cancelled,Thai,Manchester,4.0,2023-07-10,M0168,2,26.03,52.06
O00020,C0197,R007,2023-06-02 00:00:00.000,2023-06-02 00:50:00.000,Cancelled,Indian,Manchester,3.3,2022-01-09,M0335,2,8.07,16.14
O00020,C0197,R007,2023-06-02 00:00:00.000,2023-06-02 00:50:00.000,Cancelled,Indian,Manchester,3.3,2022-01-09,M0073,3,35.18,105.54
O00021,C1006,R020,2023-10-20 00:00:00.000,2023-10-20 01:30:00.000,Delivered,Indian,Liverpool,5.0,2022-11-05,M0181,1,39.22,39.22
O00021,C1006,R020,2023-10-20 00:00:00.000,2023-10-20 01:30:00.000,Delivered,Indian,Liverpool,5.0,2022-11-05,M0174,1,11.60,11.60
O00022,C0876,R012,2023-07-04 00:00:00.000,2023-07-04 00:20:00.000,Cancelled,Italian,Leeds,3.3,2022-12-26,M0260,3,5.22,15.66
O00022,C0876,R012,2023-07-04 00:00:00.000,2023-07-04 00:20:00.000,Cancelled,Italian,Leeds,3.3,2022-12-26,M0076,1,12.35,12.35
O00023,C0409,R013,2024-02-26 00:00:00.000,2024-02-26 01:21:00.000,Delivered,Thai,Manchester,3.1,2022-10-04,M0139,1,5.04,5.04
O00023,C0409,R013,2024-02-26 00:00:00.000,2024-02-26 01:21:00.000,Delivered,Thai,Manchester,3.1,2022-10-04,M0059,3,10.89,32.67
O00023,C0409,R013,2024-02-26 00:00:00.000,2024-02-26 01:21:00.000,Delivered,Thai,Manchester,3.1,2022-10-04,M0017,1,18.61,18.61
O00024,C1308,R038,2023-04-16 00:00:00.000,2023-04-16 00:41:00.000,Delivered,Thai,Liverpool,4.0,2022-01-06,M0298,2,6.41,12.82
O00025,C0632,R101,2023-08-31 00:00:00.000,2023-08-31 00:34:00.000,Cancelled,Mexican,Liverpool,4.8,2022-09-18,M0043,3,40.00,120.00
O00025,C0632,R101,2023-08-31 00:00:00.000,2023-08-31 00:34:00.000,Cancelled,Mexican,Liverpool,4.8,2022-09-18,M0369,2,23.97,47.94
O00025,C0632,R101,2023-08-31 00:00:00.000,2023-08-31 00:34:00.000,Cancelled,Mexican,Liverpool,4.8,2022-09-18,M0255,3,21.24,63.72
O00026,C1354,R034,2023-08-30 00:00:00.000,2023-08-30 01:22:00.000,Delivered,Chinese,London,4.0,2022-08-30,M0212,1,29.78,29.78
O00026,C1354,R034,2023-08-30 00:00:00.000,2023-08-30 01:22:00.000,Delivered,Chinese,London,4.0,2022-08-30,M0332,3,13.60,40.80
O00027,C0794,R024,2023-11-25 00:00:00.000,2023-11-25 01:29:00.000,Cancelled,Mexican,Manchester,3.5,2023-08-15,M0078,2,35.14,70.28
O00027,C0794,R024,2023-11-25 00:00:00.000,2023-11-25 01:29:00.000,Cancelled,Mexican,Manchester,3.5,2023-08-15,M0398,1,38.20,38.20
O00027,C0794,R024,2023-11-25 00:00:00.000,2023-11-25 01:29:00.000,Cancelled,Mexican,Manchester,3.5,2023-08-15,M0329,3,14.62,43.86
O00027,C0794,R024,2023-11-25 00:00:00.000,2023-11-25 01:29:00.000,Cancelled,Mexican,Manchester,3.5,2023-08-15,M0298,2,6.41,12.82
O00028,C0757,R024,2024-03-29 00:00:00.000,2024-03-29 01:08:00.000,Cancelled,Mexican,Manchester,3.5,2023-03-31,M0287,1,9.76,9.76
O00028,C0757,R024,2024-03-29 00:00:00.000,2024-03-29 01:08:00.000,Cancelled,Mexican,Manchester,3.5,2023-03-31,M0388,2,32.71,65.42
O00029,C0901,R060,2023-01-23 00:00:00.000,2023-01-23 00:53:00.000,Cancelled,Indian,Manchester,3.8,2023-10-23,M0344,3,24.80,74.40
O00029,C0901,R060,2023-01-23 00:00:00.000,2023-01-23 00:53:00.000,Cancelled,Indian,Manchester,3.8,2023-10-23,M0297,3,29.66,88.98
O00029,C0901,R060,2023-01-23 00:00:00.000,2023-01-23 00:53:00.000,Cancelled,Indian,Manchester,3.8,2023-10-23,M0188,3,7.36,22.08
O00029,C0901,R060,2023-01-23 00:00:00.000,2023-01-23 00:53:00.000,Cancelled,Indian,Manchester,3.8,2023-10-23,M0390,2,29.75,59.50
O00030,C1156,R008,2023-04-26 00:00:00.000,2023-04-26 00:54:00.000,Delivered,Mexican,Leeds,3.4,2023-08-01,M0318,1,11.92,11.92
O00031,C0176,R086,2024-01-21 00:00:00.000,2024-01-21 00:32:00.000,Cancelled,Chinese,Leeds,4.9,2023-08-21,M0122,3,26.92,80.76
O00031,C0176,R086,2024-01-21 00:00:00.000,2024-01-21 00:32:00.000,Cancelled,Chinese,Leeds,4.9,2023-08-21,M0277,2,22.69,45.38
O00032,C0848,R097,2024-02-18 00:00:00.000,2024-02-18 01:29:00.000,Late,Thai,Birmingham,3.5,2022-05-13,M0181,3,39.22,117.66
O00032,C0848,R097,2024-02-18 00:00:00.000,2024-02-18 01:29:00.000,Late,Thai,Birmingham,3.5,2022-05-13,M0209,2,6.93,13.86
O00033,C0125,R108,2023-04-27 00:00:00.000,2023-04-27 01:30:00.000,Cancelled,Thai,Bristol,4.3,2023-08-08,M0190,3,7.12,21.36
O00033,C0125,R108,2023-04-27 00:00:00.000,2023-04-27 01:30:00.000,Cancelled,Thai,Bristol,4.3,2023-08-08,M0185,1,24.12,24.12
O00033,C0125,R108,2023-04-27 00:00:00.000,2023-04-27 01:30:00.000,Cancelled,Thai,Bristol,4.3,2023-08-08,M0394,1,33.51,33.51
O00034,C0858,R069,2024-02-24 00:00:00.000,2024-02-24 01:26:00.000,Late,Indian,Leeds,3.0,2023-08-11,M0238,3,36.99,110.97
O00035,C1173,R113,2024-03-19 00:00:00.000,2024-03-19 01:20:00.000,Delivered,Indian,Leeds,3.9,2022-07-28,M0224,3,26.96,80.88
O00036,C0162,R051,2023-09-01 00:00:00.000,2023-09-01 00:58:00.000,Late,American,Manchester,4.7,2022-11-18,M0232,2,5.09,10.18
O00036,C0162,R051,2023-09-01 00:00:00.000,2023-09-01 00:58:00.000,Late,American,Manchester,4.7,2022-11-18,M0131,1,14.59,14.59
O00036,C0162,R051,2023-09-01 00:00:00.000,2023-09-01 00:58:00.000,Late,American,Manchester,4.7,2022-11-18,M0399,3,34.78,104.34
O00037,C1170,R116,2023-01-18 00:00:00.000,2023-01-18 01:24:00.000,Late,American,London,3.6,2022-03-03,M0026,2,38.81,77.62
O00037,C1170,R116,2023-01-18 00:00:00.000,2023-01-18 01:24:00.000,Late,American,London,3.6,2022-03-03,M0326,2,6.03,12.06
O00037,C1170,R116,2023-01-18 00:00:00.000,2023-01-18 01:24:00.000,Late,American,London,3.6,2022-03-03,M0017,1,18.61,18.61
O00037,C1170,R116,2023-01-18 00:00:00.000,2023-01-18 01:24:00.000,Late,American,London,3.6,2022-03-03,M0316,1,14.06,14.06
O00038,C0247,R097,2024-02-14 00:00:00.000,2024-02-14 00:38:00.000,Cancelled,Thai,Birmingham,3.5,2022-10-13,M0154,1,7.39,7.39
O00038,C0247,R097,2024-02-14 00:00:00.000,2024-02-14 00:38:00.000,Cancelled,Thai,Birmingham,3.5,2022-10-13,M0333,2,22.46,44.92
O00039,C0434,R104,2023-03-30 00:00:00.000,2023-03-30 00:41:00.000,Delivered,Mexican,Liverpool,4.3,2022-10-29,M0091,3,32.50,97.50
O00039,C0434,R104,2023-03-30 00:00:00.000,2023-03-30 00:41:00.000,Delivered,Mexican,Liverpool,4.3,2022-10-29,M0144,3,9.22,27.66
O00040,C0868,R011,2023-03-06 00:00:00.000,2023-03-06 00:25:00.000,Late,Italian,Bristol,3.1,2023-06-21,M0063,1,9.00,9.00
O00040,C0868,R011,2023-03-06 00:00:00.000,2023-03-06 00:25:00.000,Late,Italian,Bristol,3.1,2023-06-21,M0086,1,15.24,15.24
O00041,C1285,R019,2023-08-11 00:00:00.000,2023-08-11 00:45:00.000,Late,Italian,London,4.1,2022-05-05,M0130,3,35.60,106.80
O00041,C1285,R019,2023-08-11 00:00:00.000,2023-08-11 00:45:00.000,Late,Italian,London,4.1,2022-05-05,M0395,1,15.74,15.74
O00041,C1285,R019,2023-08-11 00:00:00.000,2023-08-11 00:45:00.000,Late,Italian,London,4.1,2022-05-05,M0248,3,35.69,107.07
O00042,C1490,R118,2023-05-13 00:00:00.000,2023-05-13 01:00:00.000,Delivered,Thai,Manchester,3.7,2023-06-10,M0080,1,26.57,26.57
O00042,C1490,R118,2023-05-13 00:00:00.000,2023-05-13 01:00:00.000,Delivered,Thai,Manchester,3.7,2023-06-10,M0197,1,7.93,7.93
O00042,C1490,R118,2023-05-13 00:00:00.000,2023-05-13 01:00:00.000,Delivered,Thai,Manchester,3.7,2023-06-10,M0362,1,30.83,30.83
O00043,C1140,R051,2023-02-14 00:00:00.000,2023-02-14 01:09:00.000,Late,American,Manchester,4.7,2022-06-18,M0131,1,14.59,14.59
O00043,C1140,R051,2023-02-14 00:00:00.000,2023-02-14 01:09:00.000,Late,American,Manchester,4.7,2022-06-18,M0050,2,18.44,36.88
O00043,C1140,R051,2023-02-14 00:00:00.000,2023-02-14 01:09:00.000,Late,American,Manchester,4.7,2022-06-18,M0154,1,7.39,7.39
O00044,C1065,R059,2023-06-16 00:00:00.000,2023-06-16 00:55:00.000,Delivered,Chinese,Bristol,3.1,2022-07-04,M0120,1,36.30,36.30
O00045,C0860,R015,2024-02-07 00:00:00.000,2024-02-07 01:26:00.000,Cancelled,American,Birmingham,3.1,2022-10-24,M0071,1,35.62,35.62
O00045,C0860,R015,2024-02-07 00:00:00.000,2024-02-07 01:26:00.000,Cancelled,American,Birmingham,3.1,2022-10-24,M0132,3,17.62,52.86
O00045,C0860,R015,2024-02-07 00:00:00.000,2024-02-07 01:26:00.000,Cancelled,American,Birmingham,3.1,2022-10-24,M0076,3,12.35,37.05
O00045,C0860,R015,2024-02-07 00:00:00.000,2024-02-07 01:26:00.000,Cancelled,American,Birmingham,3.1,2022-10-24,M0264,3,38.28,114.84
O00046,C1161,R076,2023-03-18 00:00:00.000,2023-03-18 00:38:00.000,Late,Indian,Leeds,3.6,2023-08-09,M0327,3,19.93,59.79
O00046,C1161,R076,2023-03-18 00:00:00.000,2023-03-18 00:38:00.000,Late,Indian,Leeds,3.6,2023-08-09,M0259,3,32.86,98.58
O00046,C1161,R076,2023-03-18 00:00:00.000,2023-03-18 00:38:00.000,Late,Indian,Leeds,3.6,2023-08-09,M0370,1,22.17,22.17
O00047,C0217,R073,2024-01-24 00:00:00.000,2024-01-24 00:32:00.000,Delivered,Thai,Leeds,3.3,2022-01-10,M0024,1,8.99,8.99
O00047,C0217,R073,2024-01-24 00:00:00.000,2024-01-24 00:32:00.000,Delivered,Thai,Leeds,3.3,2022-01-10,M0254,2,30.89,61.78
O00047,C0217,R073,2024-01-24 00:00:00.000,2024-01-24 00:32:00.000,Delivered,Thai,Leeds,3.3,2022-01-10,M0093,2,35.35,70.70
O00048,C1097,R113,2024-02-07 00:00:00.000,2024-02-07 00:56:00.000,Cancelled,Indian,Leeds,3.9,2022-04-27,M0121,3,6.69,20.07
O00048,C1097,R113,2024-02-07 00:00:00.000,2024-02-07 00:56:00.000,Cancelled,Indian,Leeds,3.9,2022-04-27,M0115,3,12.41,37.23
O00049,C0541,R050,2024-03-25 00:00:00.000,2024-03-25 01:12:00.000,Late,Thai,Birmingham,3.1,2022-11-28,M0014,1,18.85,18.85
O00049,C0541,R050,2024-03-25 00:00:00.000,2024-03-25 01:12:00.000,Late,Thai,Birmingham,3.1,2022-11-28,M0367,1,34.28,34.28
O00049,C0541,R050,2024-03-25 00:00:00.000,2024-03-25 01:12:00.000,Late,Thai,Birmingham,3.1,2022-11-28,M0192,3,27.00,81.00
O00050,C0077,R023,2023-09-06 00:00:00.000,2023-09-06 01:20:00.000,Cancelled,Chinese,London,4.8,2023-07-04,M0386,3,9.78,29.34
O00050,C0077,R023,2023-09-06 00:00:00.000,2023-09-06 01:20:00.000,Cancelled,Chinese,London,4.8,2023-07-04,M0229,2,8.60,17.20
O00051,C1267,R078,2023-07-26 00:00:00.000,2023-07-26 00:38:00.000,Late,Chinese,Bristol,4.3,2023-05-05,M0147,3,18.41,55.23
O00051,C1267,R078,2023-07-26 00:00:00.000,2023-07-26 00:38:00.000,Late,Chinese,Bristol,4.3,2023-05-05,M0085,1,16.33,16.33
O00051,C1267,R078,2023-07-26 00:00:00.000,2023-07-26 00:38:00.000,Late,Chinese,Bristol,4.3,2023-05-05,M0072,1,20.74,20.74
O00051,C1267,R078,2023-07-26 00:00:00.000,2023-07-26 00:38:00.000,Late,Chinese,Bristol,4.3,2023-05-05,M0109,1,30.65,30.65
O00052,C0080,R051,2023-12-22 00:00:00.000,2023-12-22 01:11:00.000,Cancelled,American,Manchester,4.7,2023-03-22,M0163,1,25.64,25.64
O00052,C0080,R051,2023-12-22 00:00:00.000,2023-12-22 01:11:00.000,Cancelled,American,Manchester,4.7,2023-03-22,M0107,2,16.46,32.92
O00052,C0080,R051,2023-12-22 00:00:00.000,2023-12-22 01:11:00.000,Cancelled,American,Manchester,4.7,2023-03-22,M0025,1,35.19,35.19
O00052,C0080,R051,2023-12-22 00:00:00.000,2023-12-22 01:11:00.000,Cancelled,American,Manchester,4.7,2023-03-22,M0032,2,33.02,66.04
O00053,C0101,R096,2023-12-20 00:00:00.000,2023-12-20 00:50:00.000,Cancelled,American,Bristol,4.0,2022-06-19,M0046,2,34.47,68.94
O00053,C0101,R096,2023-12-20 00:00:00.000,2023-12-20 00:50:00.000,Cancelled,American,Bristol,4.0,2022-06-19,M0217,2,18.02,36.04
O00053,C0101,R096,2023-12-20 00:00:00.000,2023-12-20 00:50:00.000,Cancelled,American,Bristol,4.0,2022-06-19,M0382,2,35.12,70.24
O00053,C0101,R096,2023-12-20 00:00:00.000,2023-12-20 00:50:00.000,Cancelled,American,Bristol,4.0,2022-06-19,M0015,1,26.49,26.49
O00054,C0763,R003,2024-04-16 00:00:00.000,2024-04-16 00:54:00.000,Cancelled,Chinese,Leeds,4.1,2023-07-16,M0055,1,7.89,7.89
O00054,C0763,R003,2024-04-16 00:00:00.000,2024-04-16 00:54:00.000,Cancelled,Chinese,Leeds,4.1,2023-07-16,M0079,1,27.15,27.15
O00055,C0637,R036,2024-02-23 00:00:00.000,2024-02-23 00:58:00.000,Cancelled,Mexican,London,4.8,2022-03-17,M0273,3,36.41,109.23
O00055,C0637,R036,2024-02-23 00:00:00.000,2024-02-23 00:58:00.000,Cancelled,Mexican,London,4.8,2022-03-17,M0333,2,22.46,44.92
O00055,C0637,R036,2024-02-23 00:00:00.000,2024-02-23 00:58:00.000,Cancelled,Mexican,London,4.8,2022-03-17,M0339,3,39.79,119.37
O00056,C0467,R018,2024-03-15 00:00:00.000,2024-03-15 00:32:00.000,Cancelled,Italian,Liverpool,4.1,2022-12-15,M0258,1,36.52,36.52
O00057,C0658,R035,2024-05-13 00:00:00.000,2024-05-13 01:16:00.000,Late,American,Bristol,4.6,2023-11-26,M0318,1,11.92,11.92
O00057,C0658,R035,2024-05-13 00:00:00.000,2024-05-13 01:16:00.000,Late,American,Bristol,4.6,2023-11-26,M0237,1,6.24,6.24
O00057,C0658,R035,2024-05-13 00:00:00.000,2024-05-13 01:16:00.000,Late,American,Bristol,4.6,2023-11-26,M0360,2,11.08,22.16
O00057,C0658,R035,2024-05-13 00:00:00.000,2024-05-13 01:16:00.000,Late,American,Bristol,4.6,2023-11-26,M0255,1,21.24,21.24
O00058,C0385,R057,2023-08-02 00:00:00.000,2023-08-02 00:31:00.000,Delivered,Thai,Liverpool,4.3,2022-11-15,M0356,3,6.96,20.88
O00058,C0385,R057,2023-08-02 00:00:00.000,2023-08-02 00:31:00.000,Delivered,Thai,Liverpool,4.3,2022-11-15,M0231,1,12.99,12.99
O00059,C0993,R098,2024-04-12 00:00:00.000,2024-04-12 01:12:00.000,Late,Thai,Manchester,4.4,2023-10-28,M0330,1,35.92,35.92
O00059,C0993,R098,2024-04-12 00:00:00.000,2024-04-12 01:12:00.000,Late,Thai,Manchester,4.4,2023-10-28,M0304,1,39.67,39.67
O00059,C0993,R098,2024-04-12 00:00:00.000,2024-04-12 01:12:00.000,Late,Thai,Manchester,4.4,2023-10-28,M0261,2,5.84,11.68
O00059,C0993,R098,2024-04-12 00:00:00.000,2024-04-12 01:12:00.000,Late,Thai,Manchester,4.4,2023-10-28,M0023,2,16.41,32.82
O00060,C0116,R066,2024-03-20 00:00:00.000,2024-03-20 01:07:00.000,Delivered,Mexican,Liverpool,3.8,2022-03-14,M0192,1,27.00,27.00
O00061,C1454,R065,2023-02-03 00:00:00.000,2023-02-03 00:59:00.000,Cancelled,Chinese,Leeds,3.9,2022-06-02,M0052,2,19.32,38.64
O00061,C1454,R065,2023-02-03 00:00:00.000,2023-02-03 00:59:00.000,Cancelled,Chinese,Leeds,3.9,2022-06-02,M0274,2,19.46,38.92
O00061,C1454,R065,2023-02-03 00:00:00.000,2023-02-03 00:59:00.000,Cancelled,Chinese,Leeds,3.9,2022-06-02,M0303,1,15.46,15.46
O00061,C1454,R065,2023-02-03 00:00:00.000,2023-02-03 00:59:00.000,Cancelled,Chinese,Leeds,3.9,2022-06-02,M0312,1,9.58,9.58
O00062,C1165,R004,2023-03-11 00:00:00.000,2023-03-11 01:27:00.000,Delivered,Thai,Birmingham,3.5,2022-10-24,M0034,3,28.52,85.56
O00062,C1165,R004,2023-03-11 00:00:00.000,2023-03-11 01:27:00.000,Delivered,Thai,Birmingham,3.5,2022-10-24,M0350,2,23.53,47.06
O00062,C1165,R004,2023-03-11 00:00:00.000,2023-03-11 01:27:00.000,Delivered,Thai,Birmingham,3.5,2022-10-24,M0286,3,13.18,39.54
O00063,C0119,R032,2023-04-09 00:00:00.000,2023-04-09 00:45:00.000,Delivered,American,Leeds,4.1,2022-02-02,M0188,2,7.36,14.72
O00063,C0119,R032,2023-04-09 00:00:00.000,2023-04-09 00:45:00.000,Delivered,American,Leeds,4.1,2022-02-02,M0144,2,9.22,18.44
O00064,C0739,R091,2023-08-22 00:00:00.000,2023-08-22 00:26:00.000,Delivered,Mexican,Manchester,4.2,2023-08-26,M0032,2,33.02,66.04
O00064,C0739,R091,2023-08-22 00:00:00.000,2023-08-22 00:26:00.000,Delivered,Mexican,Manchester,4.2,2023-08-26,M0307,1,24.25,24.25
O00064,C0739,R091,2023-08-22 00:00:00.000,2023-08-22 00:26:00.000,Delivered,Mexican,Manchester,4.2,2023-08-26,M0127,3,12.08,36.24
O00065,C0951,R065,2023-05-21 00:00:00.000,2023-05-21 01:07:00.000,Cancelled,Chinese,Leeds,3.9,2022-04-14,M0079,1,27.15,27.15
O00065,C0951,R065,2023-05-21 00:00:00.000,2023-05-21 01:07:00.000,Cancelled,Chinese,Leeds,3.9,2022-04-14,M0152,1,35.61,35.61
O00065,C0951,R065,2023-05-21 00:00:00.000,2023-05-21 01:07:00.000,Cancelled,Chinese,Leeds,3.9,2022-04-14,M0027,1,25.89,25.89
O00065,C0951,R065,2023-05-21 00:00:00.000,2023-05-21 01:07:00.000,Cancelled,Chinese,Leeds,3.9,2022-04-14,M0366,3,9.97,29.91
O00066,C1396,R004,2023-11-22 00:00:00.000,2023-11-22 00:35:00.000,Delivered,Thai,Birmingham,3.5,2023-03-10,M0388,3,32.71,98.13
O00067,C1217,R058,2023-07-10 00:00:00.000,2023-07-10 01:22:00.000,Delivered,Italian,Liverpool,3.6,2023-09-18,M0284,3,34.12,102.36
O00067,C1217,R058,2023-07-10 00:00:00.000,2023-07-10 01:22:00.000,Delivered,Italian,Liverpool,3.6,2023-09-18,M0334,1,24.27,24.27
O00067,C1217,R058,2023-07-10 00:00:00.000,2023-07-10 01:22:00.000,Delivered,Italian,Liverpool,3.6,2023-09-18,M0268,3,23.54,70.62
O00068,C1202,R071,2024-05-06 00:00:00.000,2024-05-06 01:20:00.000,Cancelled,Thai,Liverpool,4.8,2023-11-20,M0382,2,35.12,70.24
O00068,C1202,R071,2024-05-06 00:00:00.000,2024-05-06 01:20:00.000,Cancelled,Thai,Liverpool,4.8,2023-11-20,M0164,2,17.30,34.60
O00069,C0530,R096,2023-06-26 00:00:00.000,2023-06-26 00:40:00.000,Late,American,Bristol,4.0,2023-05-19,M0107,3,16.46,49.38
O00070,C0057,R050,2023-02-16 00:00:00.000,2023-02-16 00:56:00.000,Delivered,Thai,Birmingham,3.1,2023-04-15,M0395,2,15.74,31.48
O00070,C0057,R050,2023-02-16 00:00:00.000,2023-02-16 00:56:00.000,Delivered,Thai,Birmingham,3.1,2023-04-15,M0343,3,21.96,65.88
O00071,C0454,R083,2023-03-25 00:00:00.000,2023-03-25 00:47:00.000,Delivered,American,Bristol,4.9,2022-04-13,M0299,3,34.98,104.94
